,sport,normal,abnormal,excluded
80,1955,79.0,1.0,False
81,1735,74.0,6.0,False
82,1057,79.0,1.0,False
83,1044,75.0,5.0,False
84,1056,77.0,3.0,False
85,1514,79.0,1.0,False
86,2039,77.0,2.0,False
87,1722,76.0,3.0,False
88,1572,78.0,1.0,False
89,1715,78.0,1.0,False
90,1116,75.0,4.0,False
91,1243,76.0,3.0,False
92,1605,73.0,6.0,False
93,1629,77.0,2.0,False
94,1232,74.0,5.0,False
95,1276,75.0,4.0,False
96,1695,77.0,1.0,False
97,2042,76.0,2.0,False
98,1564,76.0,2.0,False
99,1874,73.0,5.0,False
100,1795,76.0,2.0,False
101,1106,74.0,4.0,False
102,1365,73.0,5.0,False
103,1354,77.0,1.0,False
104,1259,73.0,4.0,False
105,1814,77.0,0.0,1.0
106,2041,77.0,0.0,1.0
107,1821,76.0,1.0,False
108,1436,74.0,3.0,False
109,1796,77.0,0.0,1.0
110,1041,72.0,5.0,False
111,1034,66.0,11.0,False
112,1110,76.0,1.0,False
113,1546,76.0,1.0,False
114,1225,74.0,3.0,False
115,1282,75.0,2.0,False
116,15235,77.0,0.0,1.0
117,1359,72.0,5.0,False
118,1920,74.0,3.0,False
119,1078,72.0,5.0,False
120,1499,76.0,1.0,False
121,1066,70.0,7.0,False
122,1398,75.0,2.0,False
123,36123,75.0,2.0,False
124,1144,75.0,1.0,False
125,1418,73.0,3.0,False
126,1936,74.0,2.0,False
127,1627,71.0,5.0,False
128,1617,73.0,3.0,False
129,1198,71.0,5.0,False
130,1935,74.0,2.0,False
131,1756,75.0,1.0,False
132,1845,74.0,2.0,False
133,1568,74.0,2.0,False
134,1160,74.0,2.0,False
135,19971,72.0,4.0,False
136,1381,73.0,2.0,False
137,1650,75.0,0.0,1.0
138,1245,73.0,2.0,False
139,1856,72.0,3.0,False
140,1146,73.0,2.0,False
141,1987,74.0,1.0,False
142,1189,74.0,1.0,False
143,1972,67.0,8.0,False
144,1121,71.0,4.0,False
145,1029,50.0,25.0,False
146,1536,68.0,7.0,False
147,1096,74.0,1.0,False
148,1516,73.0,2.0,False
149,1195,74.0,1.0,False
150,31591,75.0,0.0,1.0
151,1623,71.0,4.0,False
152,1077,72.0,3.0,False
153,1429,74.0,1.0,False
154,30705,73.0,1.0,False
155,1927,73.0,1.0,False
156,1139,73.0,1.0,False
157,1908,72.0,2.0,False
158,1085,70.0,4.0,False
159,1434,71.0,3.0,False
160,1190,72.0,2.0,False
161,1487,73.0,1.0,False
162,6027,73.0,1.0,False
163,1882,73.0,1.0,False
164,1247,71.0,3.0,False
165,1408,69.0,5.0,False
166,1094,68.0,6.0,False
167,1716,74.0,0.0,1.0
168,2043,74.0,0.0,1.0
169,2036,72.0,2.0,False
170,1825,72.0,2.0,False
171,1769,73.0,1.0,False
172,1295,73.0,1.0,False
173,1422,71.0,3.0,False
174,1229,69.0,5.0,False
175,1471,73.0,1.0,False
176,1944,72.0,1.0,False
177,1912,73.0,0.0,1.0
178,1674,72.0,1.0,False
179,1351,72.0,1.0,False
180,1379,71.0,2.0,False
181,1608,70.0,3.0,False
182,1213,71.0,2.0,False
183,1490,67.0,6.0,False
184,1772,70.0,3.0,False
185,1286,71.0,2.0,False
186,1414,69.0,4.0,False
187,1217,70.0,3.0,False
188,1415,71.0,2.0,False
189,1416,72.0,1.0,False
190,1537,72.0,1.0,False
191,1828,73.0,0.0,1.0
192,1231,71.0,2.0,False
193,1880,73.0,0.0,1.0
194,1208,70.0,3.0,False
195,1561,72.0,1.0,False
196,1424,69.0,4.0,False
197,1813,72.0,1.0,False
198,1842,71.0,2.0,False
199,1998,71.0,2.0,False
200,1105,72.0,1.0,False
201,1159,69.0,4.0,False
202,1148,72.0,1.0,False
203,1914,66.0,7.0,False
204,1042,68.0,5.0,False
205,1063,71.0,2.0,False
206,1997,71.0,1.0,False
207,60986,34.0,38.0,False
208,1207,68.0,4.0,False
209,1879,69.0,3.0,False
210,1052,64.0,8.0,False
211,1870,69.0,3.0,False
212,1226,70.0,2.0,False
213,1945,71.0,1.0,False
214,1631,70.0,2.0,False
215,1961,72.0,0.0,1.0
216,1833,71.0,1.0,False
217,1068,69.0,3.0,False
218,1667,65.0,7.0,False
219,2021,69.0,3.0,False
220,1815,70.0,2.0,False
221,1729,71.0,1.0,False
222,1309,69.0,3.0,False
223,1741,70.0,2.0,False
224,1525,72.0,0.0,1.0
225,1385,69.0,3.0,False
226,1183,72.0,0.0,1.0
227,1479,67.0,5.0,False
228,1512,72.0,0.0,1.0
229,1455,69.0,3.0,False
230,1180,72.0,0.0,1.0
231,1506,70.0,2.0,False
232,1486,71.0,1.0,False
233,1325,70.0,1.0,False
234,1809,71.0,0.0,1.0
235,1440,70.0,1.0,False
236,1334,67.0,4.0,False
237,1577,69.0,2.0,False
238,1583,71.0,0.0,1.0
239,1081,67.0,4.0,False
240,1216,70.0,1.0,False
241,1167,69.0,2.0,False
242,1468,70.0,1.0,False
243,1073,67.0,4.0,False
244,1387,67.0,4.0,False
245,1377,70.0,1.0,False
246,1952,68.0,3.0,False
247,1931,68.0,3.0,False
248,1503,68.0,3.0,False
249,1405,68.0,3.0,False
250,1771,69.0,2.0,False
251,1373,67.0,4.0,False
252,2032,69.0,2.0,False
253,1187,70.0,1.0,False
254,1473,62.0,9.0,False
255,2047,69.0,2.0,False
256,1275,68.0,3.0,False
257,1439,71.0,0.0,1.0
258,1155,68.0,3.0,False
259,65507,66.0,5.0,False
260,1111,63.0,8.0,False
261,1639,70.0,1.0,False
262,1886,71.0,0.0,1.0
263,1953,71.0,0.0,1.0
264,1823,70.0,0.0,1.0
265,1235,70.0,0.0,1.0
266,1330,67.0,3.0,False
267,1086,61.0,9.0,False
268,1643,66.0,4.0,False
269,1090,63.0,7.0,False
270,1725,69.0,1.0,False
271,1835,69.0,1.0,False
272,1730,66.0,4.0,False
273,1363,68.0,2.0,False
274,1934,70.0,0.0,1.0
275,1174,65.0,5.0,False
276,1660,70.0,0.0,1.0
277,1318,68.0,2.0,False
278,1168,65.0,5.0,False
279,1829,70.0,0.0,1.0
280,1112,65.0,5.0,False
281,1172,68.0,2.0,False
282,1855,66.0,4.0,False
283,65527,43.0,27.0,False
284,1633,68.0,2.0,False
285,1607,67.0,3.0,False
286,1158,66.0,4.0,False
287,1527,69.0,1.0,False
288,1055,67.0,3.0,False
289,1533,70.0,0.0,1.0
290,1033,64.0,6.0,False
291,1545,68.0,2.0,False
292,1178,65.0,5.0,False
293,1582,68.0,2.0,False
294,1214,68.0,2.0,False
295,1181,66.0,4.0,False
296,1417,68.0,2.0,False
297,1625,65.0,5.0,False
298,1102,65.0,5.0,False
299,1054,68.0,2.0,False
300,47535,69.0,0.0,1.0
301,1328,68.0,1.0,False
302,1749,65.0,4.0,False
303,1539,64.0,5.0,False
304,1152,67.0,2.0,False
305,1728,67.0,2.0,False
306,1792,68.0,1.0,False
307,1263,69.0,0.0,1.0
308,1157,64.0,5.0,False
309,1570,63.0,6.0,False
310,1140,66.0,3.0,False
311,1794,65.0,4.0,False
312,1278,66.0,3.0,False
313,1456,67.0,2.0,False
314,1759,67.0,2.0,False
315,1051,64.0,5.0,False
316,1819,66.0,3.0,False
317,1688,67.0,2.0,False
318,1342,68.0,1.0,False
319,1283,68.0,1.0,False
320,1030,64.0,4.0,False
321,1098,63.0,5.0,False
322,61653,68.0,0.0,1.0
323,1060,67.0,1.0,False
324,1380,63.0,5.0,False
325,1965,67.0,1.0,False
326,1372,67.0,1.0,False
327,1300,68.0,0.0,1.0
328,1485,67.0,1.0,False
329,1738,65.0,3.0,False
330,1731,67.0,1.0,False
331,1599,65.0,3.0,False
332,1511,68.0,0.0,1.0
333,1428,65.0,3.0,False
334,1202,66.0,2.0,False
335,1645,66.0,2.0,False
336,1711,67.0,1.0,False
337,1704,66.0,2.0,False
338,1574,67.0,1.0,False
339,1361,63.0,5.0,False
340,1397,66.0,2.0,False
341,55357,67.0,1.0,False
342,1802,68.0,0.0,1.0
343,1449,65.0,3.0,False
344,1476,64.0,4.0,False
345,1206,58.0,10.0,False
346,1196,67.0,1.0,False
347,1846,64.0,4.0,False
348,1250,67.0,1.0,False
349,1982,67.0,1.0,False
350,1883,67.0,1.0,False
351,1240,68.0,0.0,1.0
352,1884,68.0,0.0,1.0
353,1803,68.0,0.0,1.0
354,1836,67.0,1.0,False
355,1281,64.0,3.0,False
356,1804,66.0,1.0,False
357,1806,64.0,3.0,False
358,1257,65.0,2.0,False
359,1981,66.0,1.0,False
360,1392,66.0,1.0,False
361,1517,65.0,2.0,False
362,1337,64.0,3.0,False
363,1338,63.0,4.0,False
364,1941,66.0,1.0,False
365,1340,66.0,1.0,False
366,1679,64.0,3.0,False
367,1378,65.0,2.0,False
368,1343,64.0,3.0,False
369,1676,67.0,0.0,1.0
370,1669,67.0,0.0,1.0
371,65529,43.0,24.0,False
372,1131,65.0,2.0,False
373,2004,67.0,0.0,1.0
374,1075,60.0,7.0,False
375,65530,52.0,15.0,False
376,1831,66.0,1.0,False
377,1634,66.0,1.0,False
378,1071,67.0,0.0,1.0
379,1656,67.0,0.0,1.0
380,2005,64.0,3.0,False
381,1070,61.0,6.0,False
382,1563,64.0,3.0,False
383,1774,65.0,2.0,False
384,1494,67.0,0.0,1.0
385,1442,63.0,4.0,False
386,1267,66.0,1.0,False
387,1969,62.0,5.0,False
388,1271,64.0,3.0,False
389,1538,66.0,1.0,False
390,1892,65.0,2.0,False
391,1893,64.0,3.0,False
392,1752,65.0,2.0,False
393,1547,65.0,2.0,False
394,1529,63.0,4.0,False
395,1445,66.0,1.0,False
396,1161,59.0,8.0,False
397,1046,62.0,5.0,False
398,8570,64.0,3.0,False
399,1092,63.0,4.0,False
400,1797,63.0,4.0,False
401,1587,65.0,2.0,False
402,1147,64.0,3.0,False
403,1427,65.0,2.0,False
404,65531,48.0,18.0,False
405,1522,62.0,4.0,False
406,1065,63.0,3.0,False
407,1366,62.0,4.0,False
408,7907,66.0,0.0,1.0
409,1560,63.0,3.0,False
410,1888,61.0,5.0,False
411,1463,63.0,3.0,False
412,1951,65.0,1.0,False
413,1411,63.0,3.0,False
414,1939,64.0,2.0,False
415,1576,63.0,3.0,False
416,1370,64.0,2.0,False
417,1050,64.0,2.0,False
418,1843,66.0,0.0,1.0
419,1513,65.0,1.0,False
420,1384,64.0,2.0,False
421,1038,62.0,4.0,False
422,1472,63.0,3.0,False
423,1401,66.0,0.0,1.0
424,1593,66.0,0.0,1.0
425,46343,65.0,1.0,False
426,1101,65.0,1.0,False
427,1994,64.0,2.0,False
428,2002,62.0,4.0,False
429,1957,65.0,1.0,False
430,1220,66.0,0.0,1.0
431,1970,64.0,2.0,False
432,1871,63.0,3.0,False
433,1851,65.0,1.0,False
434,1089,62.0,4.0,False
435,1793,59.0,7.0,False
436,1648,61.0,5.0,False
437,2015,62.0,4.0,False
438,1254,66.0,0.0,1.0
439,1284,63.0,3.0,False
440,1107,66.0,0.0,1.0
441,1655,60.0,6.0,False
442,1878,65.0,1.0,False
443,1310,64.0,2.0,False
444,1274,65.0,1.0,False
445,1290,65.0,1.0,False
446,2046,63.0,3.0,False
447,1084,65.0,1.0,False
448,2014,63.0,2.0,False
449,1966,63.0,2.0,False
450,1241,63.0,2.0,False
451,1743,62.0,3.0,False
452,1255,62.0,3.0,False
453,1215,64.0,1.0,False
454,1701,64.0,1.0,False
455,1526,60.0,5.0,False
456,1049,64.0,1.0,False
457,1435,61.0,4.0,False
458,1712,64.0,1.0,False
459,1542,62.0,3.0,False
460,1753,64.0,1.0,False
461,1413,64.0,1.0,False
462,1917,64.0,1.0,False
463,1256,63.0,2.0,False
464,1118,61.0,4.0,False
465,1562,65.0,0.0,1.0
466,1973,63.0,2.0,False
467,1268,56.0,9.0,False
468,1313,60.0,5.0,False
469,1395,62.0,3.0,False
470,1604,63.0,2.0,False
471,1113,56.0,9.0,False
472,1488,63.0,2.0,False
473,1768,63.0,2.0,False
474,1501,60.0,5.0,False
475,2010,64.0,1.0,False
476,1665,64.0,1.0,False
477,1918,64.0,1.0,False
478,1664,65.0,0.0,1.0
479,1619,62.0,3.0,False
480,1059,55.0,10.0,False
481,1478,62.0,3.0,False
482,1863,62.0,3.0,False
483,1069,64.0,1.0,False
484,1909,59.0,6.0,False
485,1943,59.0,6.0,False
486,2006,64.0,1.0,False
487,1548,63.0,1.0,False
488,1311,60.0,4.0,False
489,1036,58.0,6.0,False
490,58924,64.0,0.0,1.0
491,1940,63.0,1.0,False
492,1553,64.0,0.0,1.0
493,40662,63.0,1.0,False
494,1737,61.0,3.0,False
495,1788,63.0,1.0,False
496,1270,64.0,0.0,1.0
497,1305,62.0,2.0,False
498,1925,60.0,4.0,False
499,1508,62.0,2.0,False
500,1967,63.0,1.0,False
501,1163,52.0,12.0,False
502,1762,64.0,0.0,1.0
503,1758,64.0,0.0,1.0
504,1900,63.0,1.0,False
505,1297,63.0,1.0,False
506,1755,63.0,1.0,False
507,1520,62.0,2.0,False
508,1765,61.0,3.0,False
509,1420,62.0,2.0,False
510,1425,62.0,2.0,False
511,1079,57.0,7.0,False
512,2024,64.0,0.0,1.0
513,1984,64.0,0.0,1.0
514,1391,61.0,3.0,False
515,1332,62.0,2.0,False
516,1615,62.0,2.0,False
517,1988,62.0,2.0,False
518,1067,60.0,4.0,False
519,1978,60.0,4.0,False
520,2011,61.0,3.0,False
521,1374,61.0,3.0,False
522,1345,63.0,1.0,False
523,1349,63.0,1.0,False
524,1127,61.0,3.0,False
525,1367,61.0,3.0,False
526,50824,64.0,0.0,1.0
527,1317,61.0,3.0,False
528,1315,63.0,1.0,False
529,1877,61.0,3.0,False
530,1726,59.0,5.0,False
531,1260,57.0,7.0,False
532,1045,61.0,3.0,False
533,1143,62.0,2.0,False
534,1573,62.0,2.0,False
535,1975,63.0,1.0,False
536,1584,60.0,3.0,False
537,1626,63.0,0.0,1.0
538,1824,60.0,3.0,False
539,1933,62.0,1.0,False
540,1764,63.0,0.0,1.0
541,1850,59.0,4.0,False
542,48691,62.0,1.0,False
543,35000,62.0,1.0,False
544,1766,61.0,2.0,False
545,1832,61.0,2.0,False
546,1659,60.0,3.0,False
547,1602,61.0,2.0,False
548,1839,62.0,1.0,False
549,1928,60.0,3.0,False
550,1682,62.0,1.0,False
551,1507,62.0,1.0,False
552,1696,59.0,4.0,False
553,1748,60.0,3.0,False
554,1706,62.0,1.0,False
555,1901,61.0,2.0,False
556,1595,62.0,1.0,False
557,1603,61.0,2.0,False
558,2037,62.0,1.0,False
559,1977,61.0,2.0,False
560,1531,62.0,1.0,False
561,1559,62.0,1.0,False
562,1787,61.0,2.0,False
563,1861,61.0,2.0,False
564,1818,62.0,1.0,False
565,46406,62.0,1.0,False
566,1921,62.0,1.0,False
567,1518,61.0,2.0,False
568,1786,63.0,0.0,1.0
569,1304,61.0,2.0,False
570,1412,61.0,2.0,False
571,1421,61.0,2.0,False
572,1186,61.0,2.0,False
573,1233,62.0,1.0,False
574,1252,59.0,4.0,False
575,1322,62.0,1.0,False
576,1251,63.0,0.0,1.0
577,1141,62.0,1.0,False
578,35547,63.0,0.0,1.0
579,1344,63.0,0.0,1.0
580,1201,56.0,7.0,False
581,1453,63.0,0.0,1.0
582,1238,60.0,3.0,False
583,1450,58.0,5.0,False
584,1135,63.0,0.0,1.0
585,1356,63.0,0.0,1.0
586,1164,61.0,2.0,False
587,1037,57.0,6.0,False
588,1298,62.0,1.0,False
589,1407,61.0,2.0,False
590,1386,62.0,1.0,False
591,1082,58.0,5.0,False
592,1177,62.0,1.0,False
593,1280,60.0,3.0,False
594,1288,59.0,3.0,False
595,1600,60.0,2.0,False
596,11102,61.0,1.0,False
597,1393,60.0,2.0,False
598,1996,61.0,1.0,False
599,1431,60.0,2.0,False
600,1530,62.0,0.0,1.0
601,1653,62.0,0.0,1.0
602,1109,61.0,1.0,False
603,1543,59.0,3.0,False
604,1866,62.0,0.0,1.0
605,1709,61.0,1.0,False
606,1316,62.0,0.0,1.0
607,1047,56.0,6.0,False
608,20881,60.0,2.0,False
609,1589,60.0,2.0,False
610,1610,60.0,2.0,False
611,1853,61.0,1.0,False
612,1646,61.0,1.0,False
613,1388,60.0,2.0,False
614,1521,61.0,1.0,False
615,1638,55.0,7.0,False
616,1221,60.0,2.0,False
617,2007,62.0,0.0,1.0
618,1621,59.0,3.0,False
619,1353,59.0,3.0,False
620,1751,60.0,2.0,False
621,1872,57.0,5.0,False
622,1663,61.0,1.0,False
623,1949,62.0,0.0,1.0
624,1869,61.0,1.0,False
625,1635,62.0,0.0,1.0
626,1865,62.0,0.0,1.0
627,1964,61.0,1.0,False
628,1244,62.0,0.0,1.0
629,1779,61.0,1.0,False
630,1778,60.0,2.0,False
631,1713,62.0,0.0,1.0
632,1466,57.0,5.0,False
633,30969,62.0,0.0,1.0
634,1784,61.0,1.0,False
635,1946,62.0,0.0,1.0
636,1698,60.0,2.0,False
637,1929,60.0,2.0,False
638,1329,61.0,1.0,False
639,1985,61.0,1.0,False
640,1264,61.0,1.0,False
641,37406,60.0,2.0,False
642,1477,61.0,1.0,False
643,1524,60.0,2.0,False
644,1446,61.0,1.0,False
645,1124,60.0,1.0,False
646,1919,60.0,1.0,False
647,1339,59.0,2.0,False
648,2022,61.0,0.0,1.0
649,1567,60.0,1.0,False
650,1166,59.0,2.0,False
651,31614,60.0,1.0,False
652,1253,59.0,2.0,False
653,1624,60.0,1.0,False
654,1179,60.0,1.0,False
655,1383,61.0,0.0,1.0
656,1465,59.0,2.0,False
657,1423,57.0,4.0,False
658,38505,61.0,0.0,1.0
659,1171,58.0,3.0,False
660,1739,60.0,1.0,False
661,39102,60.0,1.0,False
662,1740,55.0,6.0,False
663,1864,59.0,2.0,False
664,1611,59.0,2.0,False
665,1618,60.0,1.0,False
666,27720,58.0,3.0,False
667,1683,60.0,1.0,False
668,65524,43.0,18.0,False
669,1441,59.0,2.0,False
670,1287,59.0,2.0,False
671,1151,58.0,3.0,False
672,1197,59.0,2.0,False
673,1903,58.0,3.0,False
674,65396,47.0,14.0,False
675,1137,58.0,3.0,False
676,1452,58.0,3.0,False
677,1248,58.0,3.0,False
678,1126,56.0,5.0,False
679,1128,59.0,2.0,False
680,1236,59.0,2.0,False
681,1368,60.0,1.0,False
682,1640,59.0,2.0,False
683,1705,58.0,2.0,False
684,1394,60.0,0.0,1.0
685,1710,57.0,3.0,False
686,1136,58.0,2.0,False
687,1644,60.0,0.0,1.0
688,1389,58.0,2.0,False
689,1742,58.0,2.0,False
690,1154,57.0,3.0,False
691,1108,57.0,3.0,False
692,1992,58.0,2.0,False
693,2009,55.0,5.0,False
694,1681,60.0,0.0,1.0
695,1651,59.0,1.0,False
696,2025,59.0,1.0,False
697,1175,59.0,1.0,False
698,1130,55.0,5.0,False
699,1671,59.0,1.0,False
700,1134,57.0,3.0,False
701,1120,58.0,2.0,False
702,1907,57.0,3.0,False
703,1204,57.0,3.0,False
704,1331,59.0,1.0,False
705,2028,60.0,0.0,1.0
706,1881,60.0,0.0,1.0
707,2027,59.0,1.0,False
708,2026,59.0,1.0,False
709,1894,59.0,1.0,False
710,1930,59.0,1.0,False
711,8773,60.0,0.0,1.0
712,1464,57.0,3.0,False
713,1544,58.0,2.0,False
714,1249,59.0,1.0,False
715,1242,56.0,4.0,False
716,1754,59.0,1.0,False
717,1410,59.0,1.0,False
718,1062,58.0,2.0,False
719,31383,58.0,2.0,False
720,1773,56.0,4.0,False
721,1532,59.0,1.0,False
722,1594,60.0,0.0,1.0
723,1841,59.0,1.0,False
724,10929,58.0,2.0,False
725,1396,58.0,2.0,False
726,21443,58.0,2.0,False
727,1505,58.0,2.0,False
728,1461,60.0,0.0,1.0
729,1279,58.0,2.0,False
730,50447,59.0,1.0,False
731,1767,58.0,2.0,False
732,1523,58.0,2.0,False
733,1791,59.0,1.0,False
734,1781,59.0,1.0,False
735,1246,57.0,3.0,False
736,1598,59.0,1.0,False
737,1596,59.0,1.0,False
738,1399,58.0,2.0,False
739,8106,58.0,2.0,False
740,1947,58.0,2.0,False
741,32820,39.0,21.0,False
742,19568,59.0,1.0,False
743,55749,58.0,2.0,False
744,10056,58.0,2.0,False
745,1979,56.0,3.0,False
746,1971,56.0,3.0,False
747,1497,58.0,1.0,False
748,1458,57.0,2.0,False
749,1727,59.0,0.0,1.0
750,1666,59.0,0.0,1.0
751,1150,58.0,1.0,False
752,1910,58.0,1.0,False
753,1093,53.0,6.0,False
754,1915,58.0,1.0,False
755,1890,58.0,1.0,False
756,1904,57.0,2.0,False
757,1347,56.0,3.0,False
758,1239,57.0,2.0,False
759,1990,59.0,0.0,1.0
760,1194,56.0,3.0,False
761,1191,56.0,3.0,False
762,1095,57.0,2.0,False
763,1887,58.0,1.0,False
764,50150,58.0,1.0,False
765,1597,58.0,1.0,False
766,1483,56.0,3.0,False
767,1938,58.0,1.0,False
768,1117,56.0,3.0,False
769,1083,57.0,2.0,False
770,56237,32.0,27.0,False
771,1272,58.0,1.0,False
772,1948,58.0,1.0,False
773,1620,58.0,1.0,False
774,1080,55.0,4.0,False
775,1697,59.0,0.0,1.0
776,1308,57.0,2.0,False
777,1858,59.0,0.0,1.0
778,1376,57.0,2.0,False
779,1277,57.0,2.0,False
780,1923,58.0,1.0,False
781,1959,57.0,2.0,False
782,1689,58.0,1.0,False
783,1234,57.0,2.0,False
784,13829,58.0,1.0,False
785,1554,59.0,0.0,1.0
786,1926,58.0,1.0,False
787,65475,43.0,16.0,False
788,1184,53.0,6.0,False
789,1292,57.0,2.0,False
790,7418,56.0,2.0,False
791,1495,56.0,2.0,False
792,21561,55.0,3.0,False
793,1950,54.0,4.0,False
794,1822,57.0,1.0,False
795,1467,58.0,0.0,1.0
796,43903,58.0,0.0,1.0
797,40477,57.0,1.0,False
798,1133,53.0,5.0,False
799,52400,54.0,4.0,False
800,65434,51.0,7.0,False
801,1307,56.0,2.0,False
802,1303,58.0,0.0,1.0
803,54539,52.0,6.0,False
804,1746,56.0,2.0,False
805,60726,39.0,19.0,False
806,1227,57.0,1.0,False
807,46650,58.0,0.0,1.0
808,1122,56.0,2.0,False
809,1614,56.0,2.0,False
810,1867,58.0,0.0,1.0
811,1369,55.0,3.0,False
812,1745,57.0,1.0,False
813,1875,53.0,5.0,False
814,65403,28.0,30.0,False
815,1237,57.0,1.0,False
816,1132,56.0,2.0,False
817,1433,58.0,0.0,1.0
818,1040,52.0,6.0,False
819,1590,57.0,1.0,False
820,1862,57.0,1.0,False
821,1812,56.0,1.0,False
822,1808,57.0,0.0,1.0
823,1801,57.0,0.0,1.0
824,1188,56.0,1.0,False
825,1302,56.0,1.0,False
826,1790,57.0,0.0,1.0
827,1817,56.0,1.0,False
828,1844,54.0,3.0,False
829,1763,52.0,5.0,False
830,1834,57.0,0.0,1.0
831,1192,54.0,3.0,False
832,1830,57.0,0.0,1.0
833,1475,56.0,1.0,False
834,65510,46.0,11.0,False
835,15801,54.0,3.0,False
836,62785,51.0,6.0,False
837,1474,54.0,3.0,False
838,1986,56.0,1.0,False
839,1661,53.0,4.0,False
840,1088,54.0,3.0,False
841,1995,57.0,0.0,1.0
842,1357,54.0,3.0,False
843,56526,56.0,1.0,False
844,1053,54.0,3.0,False
845,1578,49.0,8.0,False
846,2000,56.0,1.0,False
847,1612,54.0,3.0,False
848,1438,56.0,1.0,False
849,59688,57.0,0.0,1.0
850,1219,57.0,0.0,1.0
851,1291,55.0,2.0,False
852,2031,56.0,1.0,False
853,1346,57.0,0.0,1.0
854,8984,54.0,3.0,False
855,1402,53.0,4.0,False
856,1963,56.0,1.0,False
857,1058,56.0,1.0,False
858,1932,56.0,1.0,False
859,1693,57.0,0.0,1.0
860,1482,54.0,3.0,False
861,1162,51.0,6.0,False
862,1076,56.0,1.0,False
863,1489,56.0,1.0,False
864,1504,56.0,1.0,False
865,1358,56.0,1.0,False
866,1677,57.0,0.0,1.0
867,61667,57.0,0.0,1.0
868,1138,56.0,1.0,False
869,1558,55.0,2.0,False
870,53026,53.0,3.0,False
871,1498,55.0,1.0,False
872,13317,56.0,0.0,1.0
873,1556,56.0,0.0,1.0
874,1847,54.0,2.0,False
875,1557,56.0,0.0,1.0
876,1840,54.0,2.0,False
877,1142,55.0,1.0,False
878,48111,55.0,1.0,False
879,1443,46.0,10.0,False
880,3358,52.0,4.0,False
881,33630,55.0,1.0,False
882,33555,55.0,1.0,False
883,6379,51.0,5.0,False
884,30943,52.0,4.0,False
885,7175,55.0,1.0,False
886,1460,55.0,1.0,False
887,1459,56.0,0.0,1.0
888,1457,52.0,4.0,False
889,64487,52.0,4.0,False
890,9607,56.0,0.0,1.0
891,1454,56.0,0.0,1.0
892,34804,54.0,2.0,False
893,1776,54.0,2.0,False
894,65491,50.0,6.0,False
895,1223,53.0,3.0,False
896,47291,56.0,0.0,1.0
897,1680,55.0,1.0,False
898,1327,55.0,1.0,False
899,1798,53.0,3.0,False
900,1980,55.0,1.0,False
901,2001,54.0,2.0,False
902,1647,56.0,0.0,1.0
903,1571,54.0,2.0,False
904,1203,54.0,2.0,False
905,1899,55.0,1.0,False
906,1320,56.0,0.0,1.0
907,1668,56.0,0.0,1.0
908,1906,54.0,2.0,False
909,1628,53.0,3.0,False
910,22078,38.0,18.0,False
