,dsport,normal,abnormal,excluded
174,57324,254.0,0.0,1.0
175,21854,254.0,0.0,1.0
176,54867,254.0,0.0,1.0
177,62686,253.0,1.0,False
178,8998,253.0,0.0,1.0
179,22627,253.0,0.0,1.0
180,26416,253.0,0.0,1.0
181,60641,253.0,0.0,1.0
182,45534,253.0,0.0,1.0
183,58238,253.0,0.0,1.0
184,14063,253.0,0.0,1.0
185,17648,253.0,0.0,1.0
186,49198,252.0,0.0,1.0
187,63870,250.0,2.0,False
188,54484,252.0,0.0,1.0
189,30871,252.0,0.0,1.0
190,36151,252.0,0.0,1.0
191,4212,252.0,0.0,1.0
192,10871,251.0,0.0,1.0
193,54613,251.0,0.0,1.0
194,42955,250.0,0.0,1.0
195,22481,250.0,0.0,1.0
196,37857,250.0,0.0,1.0
197,42307,250.0,0.0,1.0
198,13043,250.0,0.0,1.0
199,17562,250.0,0.0,1.0
200,8919,250.0,0.0,1.0
201,24196,250.0,0.0,1.0
202,16252,249.0,0.0,1.0
203,33656,249.0,0.0,1.0
204,64203,249.0,0.0,1.0
205,4882,249.0,0.0,1.0
206,27547,248.0,0.0,1.0
207,52233,248.0,0.0,1.0
208,11981,248.0,0.0,1.0
209,65034,247.0,0.0,1.0
210,9469,247.0,0.0,1.0
211,36291,247.0,0.0,1.0
212,6863,247.0,0.0,1.0
213,32528,247.0,0.0,1.0
214,26887,246.0,0.0,1.0
215,43956,245.0,0.0,1.0
216,6979,245.0,0.0,1.0
217,12409,245.0,0.0,1.0
218,11513,245.0,0.0,1.0
219,20671,245.0,0.0,1.0
220,6745,244.0,0.0,1.0
221,26869,244.0,0.0,1.0
222,19056,244.0,0.0,1.0
223,15029,244.0,0.0,1.0
224,15026,244.0,0.0,1.0
225,60549,243.0,0.0,1.0
226,41649,242.0,0.0,1.0
227,57668,242.0,0.0,1.0
228,20641,242.0,0.0,1.0
229,45510,242.0,0.0,1.0
230,10198,242.0,0.0,1.0
231,42400,242.0,0.0,1.0
232,3504,242.0,0.0,1.0
233,33060,241.0,1.0,False
234,35231,241.0,0.0,1.0
235,7802,241.0,0.0,1.0
236,41018,241.0,0.0,1.0
237,49652,241.0,0.0,1.0
238,56614,239.0,2.0,False
239,61479,238.0,2.0,False
240,43030,240.0,0.0,1.0
241,33854,240.0,0.0,1.0
242,10394,240.0,0.0,1.0
243,32991,240.0,0.0,1.0
244,49991,239.0,0.0,1.0
245,47257,239.0,0.0,1.0
246,25524,239.0,0.0,1.0
247,16578,239.0,0.0,1.0
248,23425,239.0,0.0,1.0
249,9012,238.0,0.0,1.0
250,42265,238.0,0.0,1.0
251,8434,237.0,1.0,False
252,20894,237.0,0.0,1.0
253,21590,237.0,0.0,1.0
254,26685,237.0,0.0,1.0
255,5131,237.0,0.0,1.0
256,45714,237.0,0.0,1.0
257,67,0.0,237.0,False
258,12916,237.0,0.0,1.0
259,19518,237.0,0.0,1.0
260,47492,237.0,0.0,1.0
261,29315,236.0,0.0,1.0
262,61469,236.0,0.0,1.0
263,28344,236.0,0.0,1.0
264,24129,236.0,0.0,1.0
265,52785,235.0,0.0,1.0
266,39073,235.0,0.0,1.0
267,47279,235.0,0.0,1.0
268,60848,235.0,0.0,1.0
269,42678,235.0,0.0,1.0
270,39840,235.0,0.0,1.0
271,36222,234.0,0.0,1.0
272,11076,234.0,0.0,1.0
273,54153,234.0,0.0,1.0
274,59270,234.0,0.0,1.0
275,29238,234.0,0.0,1.0
276,24550,234.0,0.0,1.0
277,46967,234.0,0.0,1.0
278,12319,234.0,0.0,1.0
279,34200,234.0,0.0,1.0
280,12518,233.0,0.0,1.0
281,56995,233.0,0.0,1.0
282,58611,233.0,0.0,1.0
283,62916,233.0,0.0,1.0
284,28155,233.0,0.0,1.0
285,24325,232.0,0.0,1.0
286,30493,231.0,1.0,False
287,23526,231.0,0.0,1.0
288,58842,231.0,0.0,1.0
289,49262,231.0,0.0,1.0
290,5923,231.0,0.0,1.0
291,46326,230.0,0.0,1.0
292,33157,230.0,0.0,1.0
293,39655,230.0,0.0,1.0
294,32341,230.0,0.0,1.0
295,9482,230.0,0.0,1.0
296,22432,229.0,0.0,1.0
297,47377,229.0,0.0,1.0
298,18771,229.0,0.0,1.0
299,11821,229.0,0.0,1.0
300,18149,229.0,0.0,1.0
301,16014,229.0,0.0,1.0
302,64991,229.0,0.0,1.0
303,34644,228.0,0.0,1.0
304,8705,228.0,0.0,1.0
305,48047,228.0,0.0,1.0
306,40675,228.0,0.0,1.0
307,44287,228.0,0.0,1.0
308,34151,228.0,0.0,1.0
309,3062,228.0,0.0,1.0
310,4998,227.0,0.0,1.0
311,32191,227.0,0.0,1.0
312,9587,226.0,1.0,False
313,17268,227.0,0.0,1.0
314,35856,227.0,0.0,1.0
315,23754,226.0,0.0,1.0
316,65430,226.0,0.0,1.0
317,27709,226.0,0.0,1.0
318,8586,226.0,0.0,1.0
319,17403,226.0,0.0,1.0
320,26933,226.0,0.0,1.0
321,43267,226.0,0.0,1.0
322,63972,226.0,0.0,1.0
323,1906,225.0,0.0,1.0
324,26310,225.0,0.0,1.0
325,26264,223.0,1.0,False
326,15171,224.0,0.0,1.0
327,12378,224.0,0.0,1.0
328,54939,224.0,0.0,1.0
329,57753,224.0,0.0,1.0
330,46112,224.0,0.0,1.0
331,64158,224.0,0.0,1.0
332,41336,222.0,1.0,False
333,38395,223.0,0.0,1.0
334,26943,223.0,0.0,1.0
335,51838,223.0,0.0,1.0
336,44555,223.0,0.0,1.0
337,34463,223.0,0.0,1.0
338,15795,223.0,0.0,1.0
339,60489,222.0,0.0,1.0
340,57704,222.0,0.0,1.0
341,49912,219.0,3.0,False
342,32200,221.0,0.0,1.0
343,25731,221.0,0.0,1.0
344,47041,221.0,0.0,1.0
345,62120,221.0,0.0,1.0
346,24136,221.0,0.0,1.0
347,8051,221.0,0.0,1.0
348,10695,219.0,1.0,False
349,7855,220.0,0.0,1.0
350,9851,220.0,0.0,1.0
351,43200,220.0,0.0,1.0
352,13891,220.0,0.0,1.0
353,14724,220.0,0.0,1.0
354,50570,220.0,0.0,1.0
355,52639,219.0,1.0,False
356,40476,220.0,0.0,1.0
357,49483,220.0,0.0,1.0
358,15419,219.0,0.0,1.0
359,61834,219.0,0.0,1.0
360,63238,219.0,0.0,1.0
361,52919,219.0,0.0,1.0
362,61146,219.0,0.0,1.0
363,16120,219.0,0.0,1.0
364,7226,219.0,0.0,1.0
365,28760,219.0,0.0,1.0
366,57239,219.0,0.0,1.0
367,11191,218.0,0.0,1.0
368,1397,218.0,0.0,1.0
369,56243,217.0,0.0,1.0
370,54587,217.0,0.0,1.0
371,49439,216.0,0.0,1.0
372,24288,216.0,0.0,1.0
373,5068,216.0,0.0,1.0
374,51590,216.0,0.0,1.0
375,39340,216.0,0.0,1.0
376,22587,216.0,0.0,1.0
377,31677,216.0,0.0,1.0
378,63806,216.0,0.0,1.0
379,20002,215.0,0.0,1.0
380,3038,215.0,0.0,1.0
381,46556,215.0,0.0,1.0
382,13455,215.0,0.0,1.0
383,45133,215.0,0.0,1.0
384,11460,215.0,0.0,1.0
385,21049,215.0,0.0,1.0
386,23815,215.0,0.0,1.0
387,29717,215.0,0.0,1.0
388,23898,215.0,0.0,1.0
389,15398,215.0,0.0,1.0
390,65188,214.0,0.0,1.0
391,38077,214.0,0.0,1.0
392,23511,214.0,0.0,1.0
393,62364,214.0,0.0,1.0
394,40725,214.0,0.0,1.0
395,54202,214.0,0.0,1.0
396,12816,213.0,0.0,1.0
397,55726,213.0,0.0,1.0
398,56406,213.0,0.0,1.0
399,41643,213.0,0.0,1.0
400,62752,213.0,0.0,1.0
401,63753,213.0,0.0,1.0
402,43866,213.0,0.0,1.0
403,41227,213.0,0.0,1.0
404,48182,213.0,0.0,1.0
405,55633,212.0,0.0,1.0
406,31861,212.0,0.0,1.0
407,21440,212.0,0.0,1.0
408,14490,211.0,0.0,1.0
409,60335,211.0,0.0,1.0
410,6786,211.0,0.0,1.0
411,44463,211.0,0.0,1.0
412,45637,211.0,0.0,1.0
413,38225,211.0,0.0,1.0
414,31010,211.0,0.0,1.0
415,13531,210.0,1.0,False
416,26631,210.0,0.0,1.0
417,21831,210.0,0.0,1.0
418,36165,210.0,0.0,1.0
419,18312,210.0,0.0,1.0
420,41561,210.0,0.0,1.0
421,49710,210.0,0.0,1.0
422,60070,209.0,0.0,1.0
423,57047,209.0,0.0,1.0
424,16412,209.0,0.0,1.0
425,28038,209.0,0.0,1.0
426,32328,209.0,0.0,1.0
427,6292,208.0,0.0,1.0
428,3564,208.0,0.0,1.0
429,39325,208.0,0.0,1.0
430,24099,208.0,0.0,1.0
431,34073,207.0,0.0,1.0
432,52431,207.0,0.0,1.0
433,21133,207.0,0.0,1.0
434,18521,207.0,0.0,1.0
435,30913,207.0,0.0,1.0
436,59699,206.0,0.0,1.0
437,47628,206.0,0.0,1.0
438,16581,206.0,0.0,1.0
439,25031,206.0,0.0,1.0
440,22993,206.0,0.0,1.0
441,18885,206.0,0.0,1.0
442,53063,205.0,0.0,1.0
443,65063,205.0,0.0,1.0
444,3415,205.0,0.0,1.0
445,3840,205.0,0.0,1.0
446,31495,205.0,0.0,1.0
447,7224,204.0,0.0,1.0
448,34316,204.0,0.0,1.0
449,25526,203.0,0.0,1.0
450,36534,203.0,0.0,1.0
451,25244,203.0,0.0,1.0
452,45633,203.0,0.0,1.0
453,30671,202.0,0.0,1.0
454,24276,202.0,0.0,1.0
455,33513,202.0,0.0,1.0
456,16724,202.0,0.0,1.0
457,2209,202.0,0.0,1.0
458,51157,202.0,0.0,1.0
459,5491,200.0,1.0,False
460,53517,201.0,0.0,1.0
461,28298,200.0,0.0,1.0
462,20465,200.0,0.0,1.0
463,23937,200.0,0.0,1.0
464,18204,200.0,0.0,1.0
465,31797,200.0,0.0,1.0
466,26927,200.0,0.0,1.0
467,24847,200.0,0.0,1.0
468,46019,200.0,0.0,1.0
469,44539,200.0,0.0,1.0
470,25349,199.0,0.0,1.0
471,23211,199.0,0.0,1.0
472,38936,199.0,0.0,1.0
473,33291,199.0,0.0,1.0
474,49352,199.0,0.0,1.0
475,49012,198.0,0.0,1.0
476,43493,198.0,0.0,1.0
477,63706,198.0,0.0,1.0
478,63660,198.0,0.0,1.0
479,16241,198.0,0.0,1.0
480,8136,198.0,0.0,1.0
481,42386,197.0,0.0,1.0
482,35388,197.0,0.0,1.0
483,54131,197.0,0.0,1.0
484,56909,196.0,1.0,False
485,30906,197.0,0.0,1.0
486,53645,196.0,0.0,1.0
487,47015,196.0,0.0,1.0
488,65009,196.0,0.0,1.0
489,62042,196.0,0.0,1.0
490,3703,195.0,0.0,1.0
491,19027,195.0,0.0,1.0
492,58190,195.0,0.0,1.0
493,35147,195.0,0.0,1.0
494,62964,195.0,0.0,1.0
495,59746,195.0,0.0,1.0
496,44629,195.0,0.0,1.0
497,10589,195.0,0.0,1.0
498,13761,194.0,0.0,1.0
499,34484,194.0,0.0,1.0
500,44321,194.0,0.0,1.0
501,39068,193.0,0.0,1.0
502,3424,193.0,0.0,1.0
503,57521,193.0,0.0,1.0
504,13582,192.0,0.0,1.0
505,50827,190.0,2.0,False
506,31753,192.0,0.0,1.0
507,39180,192.0,0.0,1.0
508,38033,192.0,0.0,1.0
509,27928,192.0,0.0,1.0
510,20919,191.0,0.0,1.0
511,25809,190.0,1.0,False
512,38146,191.0,0.0,1.0
513,54438,190.0,0.0,1.0
514,59613,188.0,2.0,False
515,20048,190.0,0.0,1.0
516,48138,189.0,0.0,1.0
517,31484,189.0,0.0,1.0
518,10397,188.0,1.0,False
519,36239,189.0,0.0,1.0
520,44864,189.0,0.0,1.0
521,60997,189.0,0.0,1.0
522,45112,188.0,0.0,1.0
523,13224,188.0,0.0,1.0
524,64310,188.0,0.0,1.0
525,60759,188.0,0.0,1.0
526,56658,187.0,0.0,1.0
527,43825,187.0,0.0,1.0
528,33520,187.0,0.0,1.0
529,20144,186.0,0.0,1.0
530,27806,186.0,0.0,1.0
531,49502,186.0,0.0,1.0
532,39264,186.0,0.0,1.0
533,37852,185.0,0.0,1.0
534,21999,185.0,0.0,1.0
535,54121,185.0,0.0,1.0
536,24873,185.0,0.0,1.0
537,34965,185.0,0.0,1.0
538,5849,184.0,0.0,1.0
539,27743,184.0,0.0,1.0
540,54475,183.0,0.0,1.0
541,2869,183.0,0.0,1.0
542,13993,182.0,0.0,1.0
543,14987,182.0,0.0,1.0
544,54347,182.0,0.0,1.0
545,3398,181.0,0.0,1.0
546,30872,181.0,0.0,1.0
547,55348,180.0,0.0,1.0
548,57717,180.0,0.0,1.0
549,51536,178.0,1.0,False
550,60894,178.0,1.0,False
551,64665,178.0,0.0,1.0
552,23182,177.0,0.0,1.0
553,29600,177.0,0.0,1.0
554,34109,177.0,0.0,1.0
555,64907,176.0,0.0,1.0
556,0,144.0,32.0,False
557,18725,175.0,1.0,False
558,15489,176.0,0.0,1.0
559,34138,175.0,0.0,1.0
560,45963,174.0,0.0,1.0
561,18375,174.0,0.0,1.0
562,58781,174.0,0.0,1.0
563,12537,174.0,0.0,1.0
564,50194,173.0,0.0,1.0
565,10330,172.0,0.0,1.0
566,43763,171.0,0.0,1.0
567,10528,171.0,0.0,1.0
568,30656,171.0,0.0,1.0
569,62030,171.0,0.0,1.0
570,20535,170.0,0.0,1.0
571,13171,170.0,0.0,1.0
572,42523,169.0,0.0,1.0
573,29701,168.0,0.0,1.0
574,57905,168.0,0.0,1.0
575,44976,168.0,0.0,1.0
576,30898,167.0,0.0,1.0
577,32284,166.0,0.0,1.0
578,53706,166.0,0.0,1.0
579,47327,166.0,0.0,1.0
580,43738,165.0,0.0,1.0
581,53991,165.0,0.0,1.0
582,51199,165.0,0.0,1.0
583,9273,165.0,0.0,1.0
584,62262,163.0,0.0,1.0
585,43433,163.0,0.0,1.0
586,64396,163.0,0.0,1.0
587,48554,161.0,0.0,1.0
588,23156,160.0,0.0,1.0
589,1033,160.0,0.0,1.0
590,20549,160.0,0.0,1.0
591,15907,160.0,0.0,1.0
592,60046,160.0,0.0,1.0
593,34783,157.0,0.0,1.0
594,24900,157.0,0.0,1.0
595,9580,157.0,0.0,1.0
596,51876,156.0,0.0,1.0
597,34044,154.0,0.0,1.0
598,46893,153.0,0.0,1.0
599,23,0.0,153.0,False
600,13904,152.0,0.0,1.0
601,55155,151.0,0.0,1.0
602,19732,151.0,0.0,1.0
603,56334,150.0,0.0,1.0
604,14575,145.0,0.0,1.0
605,52835,144.0,0.0,1.0
606,14671,144.0,0.0,1.0
607,18583,144.0,0.0,1.0
608,45717,143.0,0.0,1.0
609,389,0.0,140.0,False
610,50128,139.0,0.0,1.0
611,32664,139.0,0.0,1.0
612,29746,139.0,0.0,1.0
613,30857,139.0,0.0,1.0
614,27509,136.0,0.0,1.0
615,44631,134.0,0.0,1.0
616,18023,134.0,0.0,1.0
617,4950,133.0,0.0,1.0
618,11399,129.0,0.0,1.0
619,52294,128.0,0.0,1.0
620,5555,11.0,112.0,False
621,443,0.0,122.0,False
622,46197,121.0,0.0,1.0
623,26143,119.0,0.0,1.0
624,29895,117.0,1.0,False
625,20741,118.0,0.0,1.0
626,48879,117.0,0.0,1.0
627,5211,116.0,0.0,1.0
628,38502,115.0,0.0,1.0
629,32841,115.0,0.0,1.0
630,25683,114.0,0.0,1.0
631,47026,114.0,0.0,1.0
632,6125,114.0,0.0,1.0
633,4360,113.0,0.0,1.0
634,1900,32.0,80.0,False
635,554,17.0,94.0,False
636,41036,111.0,0.0,1.0
637,31005,110.0,0.0,1.0
638,42611,110.0,0.0,1.0
639,32948,110.0,0.0,1.0
640,23027,109.0,0.0,1.0
641,48473,107.0,0.0,1.0
642,54359,107.0,0.0,1.0
643,64030,107.0,0.0,1.0
644,2317,105.0,1.0,False
645,52801,106.0,0.0,1.0
646,29419,106.0,0.0,1.0
647,54922,106.0,0.0,1.0
648,1968,103.0,0.0,1.0
649,33761,103.0,0.0,1.0
650,40667,103.0,0.0,1.0
651,56048,102.0,0.0,1.0
652,22832,102.0,0.0,1.0
653,62049,100.0,0.0,1.0
654,161,1.0,99.0,False
655,6363,99.0,0.0,1.0
656,23722,98.0,0.0,1.0
657,49320,97.0,0.0,1.0
658,48133,95.0,0.0,1.0
659,54429,95.0,0.0,1.0
660,46109,93.0,0.0,1.0
661,38520,90.0,0.0,1.0
662,1968,89.0,0.0,1.0
663,59576,87.0,0.0,1.0
664,54430,87.0,0.0,1.0
665,6274,86.0,0.0,1.0
666,63666,86.0,0.0,1.0
667,6577,84.0,0.0,1.0
668,7315,83.0,0.0,1.0
669,47096,82.0,0.0,1.0
670,34185,82.0,0.0,1.0
671,40667,80.0,0.0,1.0
672,33761,80.0,0.0,1.0
673,54547,80.0,0.0,1.0
674,56538,79.0,0.0,1.0
675,11922,79.0,0.0,1.0
676,60244,79.0,0.0,1.0
677,5600,12.0,65.0,False
678,23183,75.0,1.0,False
679,29746,75.0,0.0,1.0
680,63478,75.0,0.0,1.0
681,25740,73.0,0.0,1.0
682,30857,72.0,0.0,1.0
683,16359,72.0,0.0,1.0
684,9277,72.0,0.0,1.0
685,50128,71.0,0.0,1.0
686,7771,64.0,3.0,False
687,6577,66.0,0.0,1.0
688,54547,66.0,0.0,1.0
689,56538,66.0,0.0,1.0
690,548,0.0,65.0,False
691,631,2.0,61.0,False
692,2000,21.0,39.0,False
693,2170,60.0,0.0,1.0
694,1094,18.0,41.0,False
695,25740,59.0,0.0,1.0
696,11922,59.0,0.0,1.0
697,23183,59.0,0.0,1.0
698,46342,57.0,0.0,1.0
699,1812,24.0,32.0,False
700,1521,30.0,25.0,False
701,6667,9.0,46.0,False
702,7080,15.0,38.0,False
703,5900,8.0,45.0,False
704,8300,10.0,42.0,False
705,2003,31.0,20.0,False
706,3050,10.0,40.0,False
707,1434,22.0,27.0,False
708,110,0.0,48.0,False
709,500,0.0,48.0,False
710,2401,16.0,32.0,False
711,1526,16.0,30.0,False
712,9080,18.0,28.0,False
713,515,0.0,46.0,False
714,2001,16.0,28.0,False
715,1234,22.0,21.0,False
716,8028,8.0,34.0,False
717,1211,22.0,20.0,False
718,1433,23.0,19.0,False
719,13838,13.0,28.0,False
720,2103,13.0,28.0,False
721,7144,12.0,28.0,False
722,50000,7.0,33.0,False
723,8008,11.0,29.0,False
724,6502,10.0,30.0,False
725,3000,7.0,32.0,False
726,88,1.0,38.0,False
727,7002,8.0,31.0,False
728,1609,39.0,0.0,1.0
729,13666,11.0,27.0,False
730,20031,8.0,30.0,False
731,1683,38.0,0.0,1.0
732,1675,37.0,0.0,1.0
733,12401,9.0,28.0,False
734,3128,8.0,28.0,False
735,4848,14.0,21.0,False
736,1097,35.0,0.0,1.0
737,6905,14.0,20.0,False
738,1100,20.0,14.0,False
739,1620,34.0,0.0,1.0
740,1696,34.0,0.0,1.0
741,1185,34.0,0.0,1.0
742,1825,34.0,0.0,1.0
743,1047,34.0,0.0,1.0
744,1581,20.0,14.0,False
745,2049,12.0,22.0,False
746,1654,34.0,0.0,1.0
747,1152,33.0,0.0,1.0
748,1974,33.0,0.0,1.0
749,9999,8.0,25.0,False
750,1582,27.0,6.0,False
751,1707,21.0,12.0,False
752,1026,25.0,8.0,False
753,41523,14.0,19.0,False
754,2100,14.0,19.0,False
755,1032,33.0,0.0,1.0
756,1723,0.0,33.0,False
757,2140,13.0,20.0,False
758,1530,21.0,12.0,False
759,1864,32.0,0.0,1.0
760,1802,32.0,0.0,1.0
761,1983,32.0,0.0,1.0
762,1984,25.0,7.0,False
763,1288,32.0,0.0,1.0
764,3001,32.0,0.0,1.0
765,9850,12.0,20.0,False
766,1656,32.0,0.0,1.0
767,5000,11.0,21.0,False
768,3389,18.0,14.0,False
769,1106,32.0,0.0,1.0
770,7001,11.0,21.0,False
771,6661,13.0,19.0,False
772,1572,32.0,0.0,1.0
773,1576,32.0,0.0,1.0
774,1475,32.0,0.0,1.0
775,1965,32.0,0.0,1.0
776,513,0.0,31.0,False
777,1829,31.0,0.0,1.0
778,1545,31.0,0.0,1.0
779,1819,31.0,0.0,1.0
780,1625,31.0,0.0,1.0
781,1197,31.0,0.0,1.0
782,1028,31.0,0.0,1.0
783,1443,31.0,0.0,1.0
784,1444,31.0,0.0,1.0
785,1246,31.0,0.0,1.0
786,12174,19.0,12.0,False
787,1755,25.0,6.0,False
788,1396,31.0,0.0,1.0
789,1908,31.0,0.0,1.0
790,1024,22.0,9.0,False
791,1858,31.0,0.0,1.0
792,1894,31.0,0.0,1.0
793,2009,31.0,0.0,1.0
794,1206,30.0,0.0,1.0
795,38292,10.0,20.0,False
796,1718,23.0,7.0,False
797,1848,29.0,1.0,False
798,1271,29.0,1.0,False
799,1491,30.0,0.0,1.0
800,34444,10.0,20.0,False
801,19813,10.0,20.0,False
802,1979,30.0,0.0,1.0
803,1684,30.0,0.0,1.0
804,1339,24.0,6.0,False
805,1831,30.0,0.0,1.0
806,1701,30.0,0.0,1.0
807,1386,30.0,0.0,1.0
808,1293,30.0,0.0,1.0
809,1088,30.0,0.0,1.0
810,1136,30.0,0.0,1.0
811,1086,30.0,0.0,1.0
812,31320,29.0,0.0,1.0
813,1425,29.0,0.0,1.0
814,1320,29.0,0.0,1.0
815,1726,29.0,0.0,1.0
816,4433,9.0,20.0,False
817,1311,22.0,7.0,False
818,1945,29.0,0.0,1.0
819,1706,29.0,0.0,1.0
820,1270,28.0,1.0,False
821,1705,29.0,0.0,1.0
822,1402,29.0,0.0,1.0
823,1958,29.0,0.0,1.0
824,1975,29.0,0.0,1.0
825,62978,29.0,0.0,1.0
826,1341,29.0,0.0,1.0
827,2027,29.0,0.0,1.0
828,1500,16.0,13.0,False
829,22064,29.0,0.0,1.0
830,1103,29.0,0.0,1.0
831,1533,23.0,6.0,False
832,1176,29.0,0.0,1.0
833,1187,29.0,0.0,1.0
834,1478,16.0,13.0,False
835,1826,29.0,0.0,1.0
836,1869,29.0,0.0,1.0
